epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7723,0.73436,3.46326,1.19196,0.33831,0.42103,0.37486,0.34872,0.36023,1.63305,0.89678,0.000118617,0.000118617,0.000118617
2,152.318,0.57856,2.14649,1.05006,0.41435,0.65761,0.47623,0.44577,0.35429,1.28233,0.89467,0.000229776,0.000229776,0.000229776
3,223.589,0.56794,1.84397,1.03421,0.56134,0.67305,0.56837,0.53707,0.34642,1.0883,0.86839,0.000333081,0.000333081,0.000333081
4,294.982,0.5463,1.55654,1.01691,0.56984,0.7339,0.64104,0.60821,0.3316,0.97538,0.86204,0.000321657,0.000321657,0.000321657
5,367.354,0.51908,1.37898,0.99885,0.61485,0.71714,0.71641,0.69143,0.30763,0.85031,0.84914,0.000309876,0.000309876,0.000309876
6,440.912,0.50156,1.25728,0.98961,0.65011,0.76862,0.7453,0.71333,0.3088,0.83868,0.8498,0.000298095,0.000298095,0.000298095
7,513.718,0.48191,1.12349,0.98016,0.6922,0.77996,0.79252,0.76721,0.28197,0.72397,0.8366,0.000286314,0.000286314,0.000286314
8,586.245,0.46483,1.03601,0.97273,0.73697,0.80283,0.84429,0.82069,0.27897,0.63242,0.83577,0.000274533,0.000274533,0.000274533
9,659.178,0.4584,0.95251,0.96711,0.8201,0.82579,0.87558,0.85133,0.26846,0.55982,0.82549,0.000262752,0.000262752,0.000262752
10,732.073,0.44733,0.9075,0.96484,0.85431,0.8193,0.89715,0.87711,0.24637,0.52925,0.81384,0.000250971,0.000250971,0.000250971
11,804.958,0.43538,0.86007,0.95664,0.83099,0.87174,0.90059,0.87581,0.2656,0.49214,0.83017,0.00023919,0.00023919,0.00023919
12,877.824,0.43821,0.81948,0.95872,0.86373,0.81178,0.9009,0.87682,0.26867,0.52638,0.82583,0.000227409,0.000227409,0.000227409
13,950.74,0.43143,0.77153,0.95517,0.87156,0.81388,0.8912,0.87052,0.25539,0.51155,0.8226,0.000215628,0.000215628,0.000215628
14,1024.03,0.41928,0.74024,0.94847,0.88225,0.8344,0.91126,0.88825,0.26516,0.45083,0.8293,0.000203847,0.000203847,0.000203847
15,1097.12,0.41843,0.70943,0.94719,0.88574,0.88855,0.9298,0.90809,0.25156,0.42529,0.8199,0.000192066,0.000192066,0.000192066
16,1169.83,0.41112,0.67069,0.94753,0.92255,0.86954,0.93893,0.9224,0.24057,0.39056,0.81129,0.000180285,0.000180285,0.000180285
17,1242.54,0.40636,0.64806,0.94605,0.92228,0.86345,0.9506,0.92874,0.24885,0.3638,0.8218,0.000168504,0.000168504,0.000168504
18,1315.57,0.39565,0.61624,0.93531,0.90799,0.89319,0.95175,0.93236,0.24375,0.36401,0.81345,0.000156723,0.000156723,0.000156723
19,1388.06,0.40005,0.61618,0.94136,0.9258,0.87806,0.94765,0.92534,0.24444,0.37591,0.82189,0.000144942,0.000144942,0.000144942
20,1460.92,0.38519,0.59249,0.9343,0.90896,0.88437,0.94287,0.92825,0.22663,0.36387,0.80478,0.000133161,0.000133161,0.000133161
21,1560.88,0.23384,0.4142,0.84128,0.92828,0.86263,0.94248,0.92452,0.23388,0.37343,0.80886,0.00012138,0.00012138,0.00012138
22,1632.83,0.22519,0.37269,0.83366,0.90338,0.90293,0.94787,0.92796,0.23783,0.34824,0.80705,0.000109599,0.000109599,0.000109599
23,1705.13,0.22383,0.33741,0.82924,0.90168,0.90851,0.95198,0.93446,0.23189,0.33803,0.80327,9.7818e-05,9.7818e-05,9.7818e-05
24,1777.25,0.21522,0.31003,0.82926,0.93366,0.909,0.96217,0.94516,0.22004,0.30418,0.79991,8.6037e-05,8.6037e-05,8.6037e-05
25,1849.8,0.21203,0.30035,0.82673,0.93199,0.91295,0.96076,0.94638,0.21837,0.30119,0.79607,7.4256e-05,7.4256e-05,7.4256e-05
26,1921.85,0.20808,0.27329,0.82325,0.92601,0.89137,0.96127,0.94656,0.21682,0.30544,0.798,6.2475e-05,6.2475e-05,6.2475e-05
27,1993.46,0.20191,0.26277,0.82297,0.9193,0.92109,0.96241,0.95092,0.21101,0.28569,0.79347,5.0694e-05,5.0694e-05,5.0694e-05
28,2065.22,0.19712,0.25599,0.82334,0.92776,0.91401,0.96151,0.94767,0.21149,0.30495,0.79694,3.8913e-05,3.8913e-05,3.8913e-05
29,2136.64,0.19538,0.23592,0.8199,0.92918,0.91,0.96516,0.95069,0.21096,0.28779,0.79643,2.7132e-05,2.7132e-05,2.7132e-05
30,2208.12,0.19005,0.22659,0.81909,0.94535,0.88815,0.96545,0.9526,0.20518,0.28732,0.79449,1.5351e-05,1.5351e-05,1.5351e-05
